idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1594479,109813,Other Services,Medium,South West,Establishment,Other services,South West,6,No,Fresh,English,9,4,2025,13,5,2024,12,31,93,Interviewer30,,,,,,Private Unlimited Company - many owners,Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2013,5,2013,10,No,No,,No,,,,Yes,8.0,5.0,0.0,No Losses,,Yes,70.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Construction of,70,630000000.0,Six hundred and thirty million,810000000.0,Eight hundred and ten million,,100,0,0,,,,,,,,,,40,60,Yes,Italy,Yes,7.0,0.0,10.0,0.0,Don't know (spontaneous),No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Application procedures were complex,,,Yes,90,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,One hour or less,"Yes, partially","Yes, partially",No refund systems exists,,,No,,No,,Don't know (spontaneous),,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Minor obstacle,13,12,14,2,10,4,3,15,11,9,8,5,6,1,7,Tax rates,13,12,14,2,10,4,3,15,11,9,8,5,6,1,7,6,6,100.0,,,,,,1.0,6,0,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,No obstacle,Don't know (spontaneous),23400.0,0,,,0,4280000.0,Don't know (spontaneous),,,,Don't know (spontaneous),9,4,2025,14,24,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4330,South West,Medium (20-99),Other Services,Fresh,233.20186,242.08551,239.6508,193
1594480,109840,Food,Large,South West,Establishment,Manufacturing,South West,150,No,Fresh,English,25,3,2025,12,56,2024,12,31,93,Interviewer16,,,,,,PLC (Public Limited Company) - privatley traded,Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,1968,50,1986,6,No,No,,No,,,,Yes,10.0,2.0,0.0,,3000000.0,Yes,35.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With no difficulty at all,Manufacturing of ,60,790000000.0,seven hundred and ninty million,702000000.0,seven hundred and two million,Don't know (spontaneous),100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to disagree,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve without much effort,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,The market is dominated by a few firms,Increased,No,No,No,No,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Don't know (spontaneous),100," Bank transfers, including through online and mobile banking",,Don't know (spontaneous),No time spent,No,,,,,6,No,No,No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,11,12,2,13,15,5,14,4,6,7,9,1,3,10,8,Electricity,11,12,2,13,15,5,14,4,6,7,9,1,3,10,8,150,145,100.0,,90.0,60.0,29.0,20.0,,45,20,25,Yes,90.0,,60.0,,49.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,Don't know (spontaneous),2000000.0,0,,,0,90000000.0,Don't know (spontaneous),122000000.0,,36000000.0,Refusal (spontaneous),25,3,2025,15,48,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,1079,South West,Large (100 or more),Food,Fresh,2.9053974,2.9715638,2.9637463,195
1594481,110025,Other Services,Large,South West,Establishment,Other services,South West,120,Yes,Fresh,English,3,4,2025,9,39,2024,12,31,93,Interviewer19,4.0,Yes,Yes,Yes,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2007,98,2008,35,No,No,,No,,,,Yes,10.0,3.0,One minute or less,15.0,,Yes,45.0,No,,No,,,,It is suitable for only some operational needs,No,,,No,No,,No,With no difficulty at all,Hotel,60,500000000.0,five hundred million,472000000.0,four hundred and seventy-two million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,10 or more production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,No,Yes,No,,,Yes,"Within the last three years, Radisson Hotel Group has focused on digital transformation and innovation, implementing technologies like HeadBox 3D Studio and hivr.ai for immersive experiences and efficient meetings & events management, as well a",No,,155.0,Don't know (spontaneous),,,,,,No,,,Strongly agree,No,,Yes,Yes,65,10,0,0,0,25,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,2.0,80," Bank transfers, including through online and mobile banking",,2.0,No time spent,No,,,,,84,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,6,10,14,3,4,8,13,11,1,7,12,9,5,15,2,Access to finance,6,10,14,3,4,8,13,11,1,7,12,9,5,15,2,120,115,100.0,,,,,,80.0,65,35,20,Yes,,,,,80.0,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,Minor obstacle,Don't know (spontaneous),400000.0,Don't know (spontaneous),,,Don't know (spontaneous),195200000.0,41530000.0,,,,15,3,4,2025,15,59,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,5510,South West,Large (100 or more),Other Services,Fresh,6.5130877,6.92622,6.8205547,206
1594482,110181,Professional Activities,Small,South West,Establishment,Other services,South West,5,Yes,Fresh,English,17,3,2025,12,59,2024,12,31,93,Interviewer13,12.0,Yes,Yes,Yes,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2018,2,2018,10,Yes,No,,No,,,,No,,,,,,Yes,30.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,With no difficulty at all,Restaurant,80,50000000.0,FIFTY MILLION,30000000.0,THIRTY MILLION,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Prices set by HQ,No,Yes,No,,,Yes,"Partnership with Glovo to make ordering and delivering of food easier, Glovo is an online ordering and delivering app where customers can order their food and it will be delivered to them without the customer physically coming to the location t",No,,,,,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,60,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,20," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,24,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,14,9,8,7,11,5,12,4,13,6,15,3,10,2,Does not apply,1,14,9,8,7,11,5,12,4,13,6,15,3,10,2,5,5,100.0,,,,,,4.0,1,4,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),30000.0,0,,,0,3000000.0,Don't know (spontaneous),,,,30,17,3,2025,14,21,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,5610,South West,Small (5-19),Professional Activities,Fresh,240.29585,247.32253,256.09256,177
1594483,110734,Other Manufacturing,Medium,South West,Establishment,Manufacturing,South West,86,Yes,Fresh,Yoruba,3,4,2025,14,15,2024,12,31,93,Interviewer2,16.0,Yes,Yes,Yes,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,Yes,50.0,2017,18,2017,11,No,Yes,ISO45001,No,,,,Yes,4.0,2.0,One minute or less,2.0,,Yes,20.0,Yes,60.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,With no difficulty at all,Manufacturing of ,60,2000000000.0,Two Billion,1000500000.0,"One billion, five hundred thousand",100.0,80,0,20,Brazil,Yes,5.0,0.0,5.0,0.0,15.0,Yes,2020.0,65,35,Yes,China,Yes,7.0,0.0,14.0,0.0,20.0,Yes,Yes,Tend to agree,Tend to agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,Most managers and some production workers,Yes,The firmâs performance,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,National ,Too many to count,There is competition among many firms,Increased,Prices are regulated,Yes,No,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,60,20,0,5,0,15,0,Yes,30000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,Yes,Yes,Private commercial banks,2024.0,500000000.0,No,,,,,,,No,Yes,Yes,,Application was approved in full,21.0,Yes,80,"Bank transfers, including through online and mobile banking",,2.0,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,2.0,15,Yes,2.0,No,Yes,6.0,72,"Yes, partially","Yes, partially",No,,Refunds take too long to receive,Yes,Moderately difficult,Yes,90.0,5.0,,No,,,No,,,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,11,15,3,4,12,2,7,5,6,14,9,13,1,8,10,Customs and trade regulations,11,15,3,4,12,2,7,5,6,14,9,13,1,8,10,60,60,100.0,,35.0,25.0,10.0,16.0,,12,15,8,Yes,12.0,,3.0,,4.0,,No,,,15,11,5.0,12.0,No,,,Yes,Yes,Minor obstacle,Minor obstacle,8000,987000.0,0,,,0,400000000.0,24000000.0,600000000.0,,800000000.0,20,3,4,2025,16,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,Face to face only,No,Yes,City with population over 1 million,1920,South West,Medium (20-99),Other Manufacturing,Fresh,449.624,484.68274,485.6595,188
1594484,110768,Professional Activities,Medium,South West,Establishment,Other services,South West,45,No,Fresh,Yoruba,9,4,2025,7,34,2024,12,31,93,Interviewer6,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,0,Fully foreign owned (private),0,0,No,,2015,10,2015,10,No,Yes,ISO27001,No,,,,Yes,3.0,0.0,24.0,No Losses,,No,,Yes,40.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,There is only one available internet provider,Other services ,95,382500000.0,"Three hundred and eighty-two million, five hundred thousand",294230769.0,"Two hundred ninety-four million, two hundred and thirty thousand,seven hundred and sixty-nine",,60,30,10,,,,,,,,,2015.0,30,70,Yes,United States of America,Yes,4.0,13.0,2.0,14.0,20.0,No,,Strongly disagree,Strongly disagree,Strongly disagree,Does not apply (spontaneous),Yes,10 or more production performance indicators,No,,,,Yes,Their own performance,Don't know (spontaneous),Rarely or never,International,,,Stayed the same,Prices are regulated,Yes,No,Yes,Yes,"The company lunched the Seas-based Human Experience Management (HXM) platform, designed to streamline operations for globally distributed workforces.",Yes,"The company lunched the Seas-based Human Experience Management (HXM) platform, designed to streamline operations for globally distributed workforces.",No,,,,,,,,,No,,,Tend to disagree,No,,No,No,60,10,20,10,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was approved in full,3.0,Yes,90,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,24,"Yes, fully","Yes, partially",Yes,2.0,,No,,No,,5.0,,No,,,No,,,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,10,5,4,8,1,11,13,7,12,9,15,2,14,6,3,Customs and trade regulations,10,5,4,8,1,11,13,7,12,9,15,2,14,6,3,45,34,75.0,,,,,,30.0,10,30,5,No,,,,,,,No,,,9,5,0.0,3.0,No,,,No,,No obstacle,No obstacle,100,13000.0,0,,,0,45900000.0,14475000.0,,,,6,9,4,2025,9,16,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,7020,South West,Medium (20-99),Professional Activities,Fresh,247.12462,257.14117,265.09872,190
1594485,111579,Other Services,Unknown,South West,Establishment,Other services,South West,102,No,Fresh,English,8,4,2025,14,39,2024,12,31,93,Interviewer3,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2004,Don't know (spontaneous),2004,10,No,No,,No,,,,Yes,12.0,3.0,20.0,No Losses,,No,,No,,No,,,,It is suitable for all operational needs,No,,,Yes,No,,No,With no difficulty at all,Other services ,100,251350000.0,"Two hundred and fifty one million, three hundred and fifty thousand",204500000.0,"Two hundred and four million, five hundred thousand",,100,0,0,,,,,,,,,,60,40,No,,,,,,,,No,,Tend to agree,Tend to disagree,Strongly agree,We fixed it and took action to make sure it did not happen again,No,,No,,,,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,Yes,No,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,70,0,0,15,0,15,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was approved in full,7.0,Yes,85,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,85," Bank transfers, including through online and mobile banking",,4.0,10,Yes,1.0,No,No,,48,"Yes, fully","Yes, fully",No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,Major obstacle,Minor obstacle,4,15,11,1,14,13,7,9,12,3,10,2,6,5,8,Electricity,4,15,11,1,14,13,7,9,12,3,10,2,6,5,8,65,58,100.0,,,,,,18.0,45,15,5,Yes,,,,,10.0,,No,,,39,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,175,44000.0,Don't know (spontaneous),,,Don't know (spontaneous),102520000.0,15300000.0,,,,10,8,4,2025,19,47,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,6202,South West,Unknown,Other Services,Fresh,77.63598,78.9898,78.66624,213
1594486,112387,Professional Activities,Small,South West,Establishment,Retail services,South West,24,No,Fresh,English,14,4,2025,13,46,2024,12,31,93,Interviewer3,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2011,Don't know (spontaneous),2011,10,No,No,,No,,,,Yes,18.0,3.0,30.0,No Losses,,Yes,20.0,No,,No,,,,It is suitable for only some operational needs,No,,,Yes,No,,No,With no difficulty at all,Retail trade of ,100,102600000.0,"One hundred and two million, six hundred thousands",93480000.0,"Ninety three million, four hundred and eighty thousand",,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,Most managers and some production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,Yes,No,No,,,No,,No,,,,,,NO PHYSICAL SELLING AREA,,,No,,,Strongly agree,No,,No,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Application procedures were complex,,,No,85,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,4.0,15,Yes,2.0,No,No,,48,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,14,8,1,11,4,5,12,15,6,3,13,9,7,2,10,Electricity,14,8,1,11,4,5,12,15,6,3,13,9,7,2,10,24,17,100.0,,,,,,13.0,15,9,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,200,50000.0,Don't know (spontaneous),,,Don't know (spontaneous),24500000.0,7600000.0,,28100000.0,,10,14,4,2025,15,5,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4711,South West,Small (5-19),Professional Activities,Fresh,240.29585,247.32253,256.09256,177
1594487,112419,Fabricated Metals,Unknown,South West,Establishment,Manufacturing,South West,174,No,Fresh,English,25,3,2025,15,47,2024,12,31,93,Interviewer3,,,,,,PLC (Public Limited Company) - privatley traded,Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,1995,Don't know (spontaneous),1996,20,No,No,,No,,,,Yes,16.0,3.0,20.0,No Losses,,Yes,18.0,Yes,10.0,No,,,,It is suitable for all operational needs,No,,,Yes,No,,No,With no difficulty at all,Manufacturing of ,100,744200000.0,"Seven hundred and forty four million, two hundred thousand",523900000.0,"Five hundred and twenty three million, nine hundred thousand",88.0,100,0,0,,,,,,,,,,30,70,No,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with some effort,Most managers and some production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,Yes,No,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,Yes,100,0,0,0,0,0,0,Yes,22800000.0,48500000.0,85.0,,0.0,,0.0,,0.0,,0.0,,15.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,90,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,3.0,10,Yes,2.0,No,No,,30,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,Major obstacle,No obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,11,9,5,13,12,14,7,3,1,2,10,6,15,4,8,Electricity,11,9,5,13,12,14,7,3,1,2,10,6,15,4,8,125,120,95.0,,101.0,24.0,15.0,12.0,,68,33,0,No,,,,,,,No,,,49,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,320,80960.0,Don't know (spontaneous),,,Don't know (spontaneous),201500000.0,51300000.0,185600000.0,,370000000.0,8,25,3,2025,17,58,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,2732,South West,Unknown,Fabricated Metals,Fresh,2.5430703,2.5863316,2.5757375,209
1594488,112447,Other Services,Medium,South West,Establishment,Other services,South West,6,No,Fresh,English,11,2,2025,13,44,2024,12,31,93,Interviewer30,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2004,2,2001,21,Yes,No,,No,,,,Yes,25.0,7.0,0.0,,1440000.0,Yes,70.0,No,,No,,,,It is suitable for only some operational needs,No,,,No,No,,The establishment does not have an internet connection,Don't know (spontaneous),Wholesale trade of ,100,20000000.0,Twenty Million,12000000.0,twelve Million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,Local or in some parts of the country,3.0,The market is dominated by a few firms,Stayed the same,No,No,Yes,No,,,Yes,"The establishment typically provides long - term payment facilities to its customers. However, it has recently reduced the credit margin available to them.",No,,,,,,,,,No,,,Strongly agree,No,,No,No,60,0,0,0,0,0,40,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Yes,No,No,Interest rates were not favorable,,,Yes,100,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Costless (Zero),100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,3.0,Yes,Yes,4.0,Don't know (spontaneous),"Yes, fully","Yes, fully",No,,Other,Yes,Moderately difficult,Yes,90.0,30.0,,No,,,No,,,Major obstacle,No obstacle,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,Don't know (spontaneous),Major obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,13,5,11,1,14,4,9,10,15,12,2,7,3,6,8,Corruption,13,5,11,1,14,4,9,10,15,12,2,7,3,6,8,6,6,40.0,,,,,,5.0,3,2,1,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,196,10000.0,Don't know (spontaneous),,,Don't know (spontaneous),2850000.0,Don't know (spontaneous),,,,Don't know (spontaneous),11,2,2025,16,7,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4649,South West,Medium (20-99),Other Services,Fresh,233.20186,242.08551,239.6508,193
