idstd,id,preference,rotation,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8a,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,ETHb2,ETHb2x,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,ETHc1,ETHc2,c12,c13,c14,c15,c16,c17,c22a,c22b,c30a,c30b,d1a1x,d1a2,d1a3,d2,d2x,d3a,d3b,d3c,d4,d5a,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d15a,d16,d17,ETHd1,ETHd2,ETHd3a,ETHd3b,ETHd3c,ETHd3d,ETHd3e,ETHd4,ETHd5a,ETHd5b,ETHd6,ETHd6a,ETHd7,ETHd8,ETHd9,ETHd9a,ETHd30,d30a,d30b,ETHt30a,ETHt30b,ETHt30c,ETHt30d,e1,e2b,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,ETHg1,ETHg2,ETHg3a,ETHg3b,ETHg3c,ETHg4,ETHg5,ETHg6,g6a,g6b,g6c,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc1,k3bc2,k3e,k3f,k3hd,k4,n5a,n5b,ETHk1a,ETHk1b,k5a,k5i,k5bc1,k5bc2,k5e,k5f,k5hdj,ETHk2,ETHk3a,ETHk3b,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,ETHk4,ETHk5,ETHk6,ETHk7,ETHk8a,ETHk8,ETHk9,k15b,k15c,k15d,k16,k17,k20a1,k21,ETHk10,k30,h7a,j2,j3,j4,j5,ETHj1,ETHj2,ETHj3,ETHj4,ETHj5,ETHj5x,ETHj6,ETHj7,ETHj30a,ETHj30b,ETHj30c,ETHj30d,ETHj30e,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,ETHl2a,ETHl2b,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2b,n2e,n2f,n2i,n2p,n3,n6a,n6b,n7a,n7b,ETHn1,ETHn2,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,stratificationregioncode,stratificationsizecode,stratificationsectorcode,panelcode,wstrict,wmedian,wweak,strata
590902,34918,12,1,Manufacturing,17,Amharic,Tigray,Tigray,No,Yes,City with population over 1 million,Non metallic mineral products,Non metallic mineral products,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,2,9,2015,11,21,Sole proprietorship,,100,100,0,0,0,,,No,,2005,1,Yes,2005,10,No,No,,No,,,Yes,15.0,5.0,0.0,1.0,,No,,,Decreased,Yes,60.0,No,Yes,8.0,24.0,No,No,Major Obstacle,No Obstacle,Manufacturing hollow block,2692,100,147321.0, One hundred and forty seven thousand three hundred and twenty one,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,60.0,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Local  main product sold mostly in same municipality where,TOO MANY TO COUNT,No,Yes,Moderate obstacle,No,,No,No,No,No,No,No,,70.0,48.0,Yes,1.0,0.0,0.0,1.0,,,,0,100,0,0,100,0,No,,,,,,Moderate Obstacle,Yes,,2400.0,No,,,Minor Obstacle,0,0,50,0,0,50,0,0,No,,,,,,,,,,,,No,,,Yes,No,Yes,Other,2012.0,100000.0,No,,,,,,,2.0,36.0,No,,No,,,1.0,100000.0,No,No,Other,,Yes,No change,Very Severe Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,3.0,No,No,,,,,,,,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,5,2,2,2,4.0,1.0,4.0,0.0,0.0,2.0,0.0,,6,0.0,LESS THAN ONE MONTH,6.0,1.0,20,No,,,No Obstacle,No Obstacle,1,1,11600,1455,91069.0,0.0,,0.0,135786,13320.0,DONT KNOW (SPONTANEOUS),30000.0,DONT KNOW (SPONTANEOUS),Yes,300.0, General Manager,10,Male,,,,,,,2,9,2015,12,39,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,1,3,0,1.0,1.0,2.51,152.0
590903,35016,4,2,Manufacturing,17,Amharic,Tigray,Tigray,No,No,50.000 to 250.000,Textiles,Garments,"No, does not match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,30,9,2015,16,3,Sole proprietorship,,100,100,0,0,0,,,No,,2009,1,Yes,2008,17,No,No,,No,,,Yes,5.0,3.0,0.0,0.0,,Yes,9.0,DONT KNOW (SPONTANEOUS),Increased,No,,,The establishment does not use water for production,,,No,No,Minor Obstacle,No Obstacle, Manufacturing of women's dress garment,1820,85,2160000.0, Two million one hundred and sixty thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,DON'T KNOW,DON'T KNOW,,,,100.0,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,5.0,Yes,No,No obstacle,Yes,No,Yes,No,No,No,No,No,,70.0,112.0,Yes,3.0,0.0,0.0,3.0,,,,0,100,0,0,100,0,No,,,,,,Major Obstacle,Yes,,1200.0,No,,,Moderate Obstacle,30,0,60,40,0,0,0,0,Yes,99000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,No,Yes,Private commercial banks,2012.0,300000.0,Yes,No,No,No,Yes,No,1300000.0,2.0,12.0,No,,No,,,DON'T KNOW,,No,No,Other,,Yes,No change,Very Severe Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,2.0,No,No,,,,,,,,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,20,6,2,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,19.0,1.0,8.0,10.0,Unskilled production workers,7.0,0.0,,7,7.0,LESS THAN ONE MONTH,10.0,10.0,95,No,,,No Obstacle,No Obstacle,1,2,460000,3600,1260000.0,4800.0,,1728400.0,1080000,129000.0,DONT KNOW (SPONTANEOUS),200000.0,DONT KNOW (SPONTANEOUS),Yes,1000.0, General Manager,7,Male,,,,,,,30,9,2015,16,56,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,2,2,0,1.0,1.0,1.36,161.0
590904,35017,7,1,Manufacturing,17,Amharic,Tigray,Tigray,No,No,50.000 to 250.000,Food,Food,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,16,10,2015,13,9,Sole proprietorship,,100,100,0,0,0,,,No,,2013,1,Yes,2013,2,No,No,,Yes,STILL IN PROCESS,No,Yes,10.0,1.0,0.0,,30000.0,No,,,Increased,No,,,Yes,Number of incidents of water insufficiency  in a typical mon,DON'T KNOW (SPONTANEOUS),No,No,Very Severe Obstacle,Very Severe Obstacle, Manufacture of Bakery Products,1541,100,160000.0,one hundred sixty thousand,100,0,0,,,,,,NO LOSSES,NO INTERNAL SHIPMENT MADE (DOES NOT APPLY),100.0,0.0,,,,1.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Minor Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,23.0,No,Yes,Major obstacle,Yes,Yes,Yes,No,No,No,Yes,No,,60.0,56.0,No,,,,,,,,100,0,0,100,0,0,No,,,,,,Moderate Obstacle,Yes,,600.0,No,,,No Obstacle,0,10,100,0,0,0,0,0,Yes,20000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No change,Major Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,3.0,No,No,,,,,,,,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,11,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2012,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,5.0,6.0,5.0,0.0,0.0,0.0,2.0,,1,1.0,LESS THAN ONE MONTH,6.0,8.0,36,No,,,No Obstacle,No Obstacle,1,1,10000,9000,150000.0,0.0,,169000.0,ESTABLISHMENT WAS NOT IN BUSINESS THREE YEARS AGO,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),120000.0,DONT KNOW (SPONTANEOUS),No,, General Manager,2,Male,,,,,,,16,10,2015,14,41,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,1,1,0,6.92,6.6,20.01,149.0
590905,35043,4,1,Non-retail Services,17,Amharic,Tigray,Tigray,No,No,Over 250.000 to 1 million,Retail,Retail,"Yes, screener and sample frame info match",Medium,Small,Yes,2,HQ with production and/or sales in this location,DOES NOT APPLY,No,No,1012,2001,9,10,2015,11,23,Sole proprietorship,,100,100,0,0,0,,,No,,2000,1,Yes,2000,20,No,No,,No,,,Yes,10.0,3.0,0.0,,4000.0,Yes,8.0,DONT KNOW (SPONTANEOUS),Decreased,No,,,,,,Yes,No,Minor Obstacle,Major Obstacle,radio  retailing,5232,65,450000.0, Four hundred and fifty thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,No obstacle,Minor Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,Yes,Very Severe Obstacle,Yes,Yes,No,No,No,No,No,No,,,,Yes,4.0,0.0,0.0,4.0,,,,100,0,0,100,0,0,No,,,,,,Very Severe Obstacle,No,,,No,,,No Obstacle,50,0,100,0,0,0,0,0,Yes,0.0,280000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,No,Yes,Non-bank financial institutions,2014.0,500000.0,Yes,Yes,No,No,Yes,No,1800000.0,1.0,36.0,No,,No,,,1.0,500000.0,No,Yes,,Application was rejected,Yes,No change,Very Severe Obstacle,DONT KNOW (SPONTANEOUS),NO TIME WAS SPENT,Yes,3.0,No,Yes,Yes,Yes,Yes,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,NO PAYMENTS,,No,,,No,,,Major Obstacle,No Obstacle,No Obstacle,No Obstacle,Minor Obstacle,No Obstacle,7,4,4,4,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,50,No,,,No Obstacle,No Obstacle,1,1,65000,1500,,,,,400000,,,,,Yes,4000.0, General Manager,15,Male,,,,,,,9,10,2015,12,38,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,2,5,0,4.1,3.96,18.66,166.0
590906,35148,17,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Transport  Section I: (60-64),Transport  Section I: (60-64),"Yes, screener and sample frame info match",Large,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1005,2001,27,8,2015,10,53,Shareholding company with non-traded shares or shares traded,,95,5,0,95,0,,,No,,2008,102,Yes,2007,30,No,No,,No,,,No,,,,,,No,,,Increased,No,,,,,,No,No,Minor Obstacle,Moderate Obstacle,Transportation,6022,100,5676975.0, Five million six hundred and seventy six thousand nine hundred  and seventy five,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,No,No obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,100,0,0,0,100,0,No,,,,,,No Obstacle,Yes,DON'T KNOW,,No,,,No Obstacle,0,50,40,0,0,0,60,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,DONT KNOW (SPONTANEOUS),,Yes,No change,Minor Obstacle,Strongly agree,10,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Yes,NO PAYMENTS OR GIFTS ARE PAID,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),,,,,,,,-9.0,DONT KNOW (SPONTANEOUS),,,,,DONT KNOW (SPONTANEOUS),No,,,Do Not Know,Do Not Know,1,1,2556347,DONT KNOW (SPONTANEOUS),,,,,3457275,,,,,Yes,DONT KNOW (SPONTANEOUS), General Manager,20,Male,,,,,,,27,8,2015,12,0,Somewhat truthful,Are estimates computed with some precision,Several visits,1.0,43.0,1,3,6,0,3.38,3.8,6.27,39.0
590907,35207,1,2,Manufacturing,17,Amharic,Tigray,Tigray,No,Yes,Over 250.000 to 1 million,Non metallic mineral products,Non metallic mineral products,"Yes, screener and sample frame info match",4,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1008,2001,18,9,2015,14,10,Sole proprietorship,,100,100,0,0,0,,,No,,2010,3,Yes,2010,4,No,No,,No,,,Yes,10.0,4.0,1.0,20.0,,No,,,Increased,No,,,Yes,15.0,5.0,No,No,Very Severe Obstacle,No Obstacle,Manufacturing hollow block,2692,100,170000.0, One hundred and seventy thousand,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,100.0,0.0,,,,1.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,TOO MANY TO COUNT,No,No,No obstacle,No,,No,No,No,No,No,No,,50.0,45.0,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Very Severe Obstacle,No,,,No,,,No Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,Yes,,Application was approved in part,No,Worsened,Very Severe Obstacle,Tend to agree,NO TIME WAS SPENT,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,5,3,DONT KNOW (SPONTANEOUS),IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,4.0,1.0,4.0,0.0,0.0,0.0,0.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,7.0,NO FEMALE PRODUCTION WORKERS,10,No,,,No Obstacle,No Obstacle,2,2,80000,5000,18000.0,0.0,,24000.0,122000,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),No,, Owner,4,Male,,,,,,,18,9,2015,15,9,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,4,3,0,1.0,1.0,1.0,178.0
590908,35212,13,1,Non-retail Services,17,Amharic,Tigray,Tigray,No,Yes,Over 250.000 to 1 million,Wholesale,Wholesale,"Yes, screener and sample frame info match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,23,1,2016,11,47,Sole proprietorship,,100,100,0,0,0,,,No,,2011,4,Yes,2011,4,No,No,,No,,,Yes,4.0,6.0,0.0,0.0,,No,,,Increased,No,,,,,,No,No,Minor Obstacle,Minor Obstacle, Wholesale of beer,5122,100,1800000.0,one million eight hundred thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,,,,Yes,Minor obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,,,,No Obstacle,Yes,,1200.0,No,,,No Obstacle,0,0,100,0,0,0,0,0,Yes,880000.0,0.0,5.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,Yes,150000.0,150000.0,Yes,No,Yes,Private commercial banks,2013.0,304000.0,Yes,No,Yes,No,No,No,880000.0,42.0,36.0,No,,No,,,1.0,304000.0,No,Yes,,Application was approved in full,Yes,Improved,Moderate Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,4.0,No,Yes,Yes,Yes,Yes,,,,,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,No,,NO PAYMENTS,,No,,,Yes,LESS THAN ONE DAY,No,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,6,DONT KNOW (SPONTANEOUS),IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,DON'T KNOW (SPONTANEOUS),7,2.0,2.0,,,80,No,,,No Obstacle,No Obstacle,DOES NOT APPLY (SPONTANEOUS),1,54000,DONT KNOW (SPONTANEOUS),,,,,DON'T KNOW (SPONTANEOUS),,,,,Yes,15000.0, General Manager,4,Male,,,,,,,23,1,2016,12,31,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,2,7,0,9.5,9.37,31.3,168.0
590909,35379,45,2,Manufacturing,17,Amharic,Tigray,Tigray,No,No,City with population over 1 million,Non metallic mineral products,Non metallic mineral products,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,26,11,2015,14,14,Partnership,,25,100,0,0,0,,,Yes,50.0,2012,4,Yes,2012,LESS THAN ONE YEAR,No,No,,No,,,Yes,5.0,6.0,0.0,0.0,,No,,,No change,No,,,No,,,No,No,Minor Obstacle,No Obstacle, stone crushing,2696,100,135000.0,one hundred thirty five thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,2.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,TOO MANY TO COUNT,No,No,No obstacle,No,,No,No,No,No,No,No,,60.0,48.0,Yes,1.0,1.0,0.0,0.0,400.0,Municipality/district,No,0,100,0,0,100,0,No,,,,,,No Obstacle,No,,,No,,,No Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Other,,Yes,No change,Very Severe Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,Times inspected or met with tax officials,No,No,,,,,,,,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,DONT KNOW,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,7,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2012,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,7.0,0.0,Highly-skilled production workers,6.0,0.0,2.0,0.0,,20,10.0,LESS THAN ONE MONTH,10.0,10.0,80,No,,,No Obstacle,No Obstacle,1,2,48945,0,6678.0,0.0,,55623.0,DON'T KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),300000.0,DONT KNOW (SPONTANEOUS),No,, Finance head,4,Male, General Manager,1.0,Male,,,,26,11,2015,15,2,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,1,3,0,1.0,1.0,2.51,152.0
590910,35424,7,1,Manufacturing,17,Amharic,Tigray,Tigray,No,No,City with population over 1 million,Furniture,Fabricated metal products,"No, does not match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1008,2001,21,10,2015,9,18,Sole proprietorship,,100,100,0,0,0,,,No,,2010,1,Yes,2010,4,No,No,,No,,,Yes,6.0,6.0,1.0,0.0,,No,,,No change,No,,,No,,,No,No,Major Obstacle,No Obstacle,manfactute matal doors,2811,70,200000.0, Two hundred thousand,100,0,0,,,,,,DON'T KNOW,NO LOSS,100.0,0.0,,,,0.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,50.0,No,Yes,Very Severe Obstacle,No,,No,No,No,No,No,No,,75.0,56.0,No,,,,,,,,0,100,0,0,100,0,No,,,,,,No Obstacle,No,,,No,,,No Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Application procedures were complex,,Yes,No change,No Obstacle,Strongly agree,NO TIME WAS SPENT,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,Tend to agree,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,5,2,DONT KNOW (SPONTANEOUS),IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,4.0,1.0,4.0,0.0,0.0,0.0,0.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,3.0,NO FEMALE PRODUCTION WORKERS,80,No,,,No Obstacle,No Obstacle,1,1,40000,840,100000.0,0.0,,20000.0,150000,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),70000.0,DONT KNOW (SPONTANEOUS),No,, Owner,4,Male,,,,,,,21,10,2015,11,12,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,1,4,0,4.53,4.58,13.59,153.0
590911,35519,17,1,Manufacturing,17,Amharic,Tigray,Tigray,No,Yes,City with population over 1 million,Non metallic mineral products,Non metallic mineral products,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,2,9,2015,17,31,Sole proprietorship,,100,100,0,0,0,,,No,,2007,5,Yes,2007,7,No,No,,Yes,STILL IN PROCESS,No,Yes,7.0,6.0,0.0,1.0,,Yes,6.0,DONT KNOW (SPONTANEOUS),Decreased,No,,,No,,,No,No,Very Severe Obstacle,No Obstacle,Manufacturing hollow block,2692,100,94200.0, Ninety four thousand two hundred,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,30.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Minor Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,TOO MANY TO COUNT,No,Yes,Minor obstacle,No,,No,No,No,No,No,No,,60.0,36.0,No,,,,,,,,100,0,0,0,100,0,No,,,,,,No Obstacle,No,,,Yes,,5000.0,Moderate Obstacle,20,0,100,0,0,0,0,0,Yes,7000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,No,No,Yes,Private commercial banks,2008.0,100000.0,Yes,No,No,No,Yes,No,200000.0,4.0,24.0,No,,,,,1.0,DON'T KNOW,No,No,Collateral requirements were too high,,No,No change,Very Severe Obstacle,Tend to disagree,NO TIME WAS SPENT,Yes,2.0,No,Yes,Yes,No,No,The decisions are unfair,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,,NO PAYMENTS,,No,,,No,,,Moderate Obstacle,Minor Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,6,6,5,5,5.0,1.0,5.0,0.0,0.0,0.0,0.0,,DONT KNOW (SPONTANEOUS),,,10.0,NO FEMALE PRODUCTION WORKERS,40,No,,,No Obstacle,No Obstacle,1,1,18300,2360,52270.0,0.0,,18300.0,DON'T KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),51000.0,DONT KNOW (SPONTANEOUS),Yes,REFUSAL (SPONTANEOUS), Deputy Manager,4,Male,,,,,,,2,9,2015,18,24,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,6,1,3,0,1.0,1.0,2.51,152.0
